strain	date	date_submitted	clade_membership	region	host	country	recency	lineage	author	accession	dinuc_context_fraction	GA_CT_fraction
ANT_INS_MPX_0039_L	2022-07-29	2022-10-21	IIb	South America	Homo sapiens	Colombia	Older	B.1	Laiton-Donato,K., Alvarez-Diaz,D.A., Franco-Munoz,C., Ruiz-Moreno,H.A., Rojas-Estevez,P., Rosales,A., Martinez,D., Flores,A., Prieto,F., Walteros,D., Gomez,S., Mercado-Reyes,M.	OP693649	0.50	1.00
MPXV_FVG-ITA_01_2022	2022-05-25	2022-06-01	IIb	Europe	Homo sapiens	Italy	Older	B.1	Licastro,D., DeGasperi,M., Negri,C., Piscianz,E., Koncan,R., Dal Monego,S., Segat,L., D'Agaro,P.	ON644344		
Monkeypox/PT0029/2022	2022-05-27	2022-06-24	IIb	Europe	Homo sapiens	Portugal	Older	B.1	Isidro,J., Borges,V., Pinto,M., Sobral,D., Santos,J., Nunes,A., Mixao,V., Ferreira,R., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Lopes de Carvalho,I., Pelerito,A., Cordeiro,R., Gomes,J.P.	ON843173	1.00	1.00
MPX/UZ_REGA_1/Belgium/2022	2022-05-19	2022-05-27	IIb	Europe	Homo sapiens	Belgium	Older	B.1	Vanmechelen,B., Wawina-Bokalanga,T., Logist,A.-S., Sinnesael,R., Ysebaert,L., Verlinden,J., Bloemen,M., Maes,P.	ON622712	1.00	1.00
Slovenia-MPXV-39-2022	2022-08-01	2022-10-11	IIb	Europe	Homo sapiens	Slovenia	Older	B.1	Zakotnik,S., Vlaj,D., Suljic,A., Zorec,T.M., Korva,M., Poljak,M., Avsic Zupanc,T.	OP605580	1.00	1.00
hMPXV/Austria/MUW1525179/2022	2022-06-10	2022-07-19	IIb	Europe	Homo sapiens	Austria	Older	B.1	Camp,J.V., Redlberger-Fritz,M., Aberle,S.W.	OP019275	1.00	0.67
CVR_MPXV1d	2022-05-15	2022-06-21	IIb	Europe	Homo sapiens	United Kingdom	Older	B.1	Filipe,A., Tong,L., Vattipally,S.B., Maclean,A., Gunson,R., Holden,M.T.G., Barr,D., Ho,A., Palmarini,M., Rambaut,A., Robertson,D.L., Thomson,E.C.	ON808416	1.00	1.00
MPXV/Germany/2022/ON/RKI512	2022-10-01	2022-10-20	IIb	Europe	Homo sapiens	Germany	Older	B.1	Brinkmann,A., Kohl,C., Pape,K., Schrick,L., Michel,J., Schaade,L., Nitsche,A.	OP689665		
hMPXV-IHU00001	2022-06-13	2022-09-07	IIb	Europe	Homo sapiens	France	Older	B.1	Colson,P.	OP382478	1.00	1.00
Monkeypox/PT0235/2022	2022-06-21	2022-08-29	IIb	Europe	Homo sapiens	Portugal	Older	B.1	Isidro,J., Borges,V., Pinto,M., Sobral,D., Santos,J., Nunes,A., Mixao,V., Ferreira,R., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Lopes de Carvalho,I., Pelerito,A., Cordeiro,R., Gomes,J.P.	OP324543		
Monkeypox/PT0203/2022	2022-06-23	2022-08-29	IIb	Europe	Homo sapiens	Portugal	Older	B.1	Isidro,J., Borges,V., Pinto,M., Sobral,D., Santos,J., Nunes,A., Mixao,V., Ferreira,R., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Lopes de Carvalho,I., Pelerito,A., Cordeiro,R., Gomes,J.P.	OP324514	1.00	1.00
Monkeypox/PT0323/2022	2022-06-04	2022-09-12	IIb	Europe	Homo sapiens	Portugal	Older	B.1	Isidro,J., Borges,V., Pinto,M., Sobral,D., Santos,J., Nunes,A., Mixao,V., Ferreira,R., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Lopes de Carvalho,I., Pelerito,A., Cordeiro,R., Gomes,J.P.	OP414355		1.00
MPXV_USA_2022_CA002	2022-05-15	2022-07-09	IIb	North America	Homo sapiens	USA	Older	B.1	Gigante,C.M., Ventura,J., Seabolt,M.H., Zhao,H., Wilkins,K., Respress,J., Howard,D., Batra,D., McCollum,A., Hutson,C., Davidson,W., Rao,A., Nash,J., Li,Y.	ON954773	0.50	1.00
MPX/UZ_REGA_2/Belgium/2022	2022-05-22	2022-05-27	IIb	Europe	Homo sapiens	Belgium	Older	B.1	Wawina-Bokalanga,T., Vanmechelen,B., Logist,A.-S., Sinnesael,R., Ysebaert,L., Verlinden,J., Bloemen,M., Maes,P.	ON622713	1.00	1.00
MPXV_GSTT_Patient1	2022-05-11	2022-06-01	IIb	Europe	Homo sapiens	United Kingdom	Older	B.1	Alcolea-Medina,A., Charalampous,T., Snell,L.B., Batra,R., Edgeworth,J.D.	ON645312		
ANT-LDSP-ANT-MPX-24812-L	2022-09-09	2022-10-17	IIb	South America	Homo sapiens	Colombia	Older	B.1	Betancur,I.I.B., Velarde-Hoyos,C.-A.C.V., Gomez,R.R.G., Mercado-Reyes,M.M.R.	OP642382	1.00	1.00
MPX_IMt4nT_9000212	2022-07-01	2022-09-12	IIb	Europe	Homo sapiens	United Kingdom	Older	B.1	Groves,N., Osman,K.L., Lewandowski,K.S., Carter,D.P., Pullan,S.T., Myers,R., Vipond,R., Chand,M.	OP415191		
MPXV_UK_2022_9000062	2022-06-05	2022-08-11	IIb	Europe	Homo sapiens	United Kingdom	Older	B.1	Groves,N., Osman,K.L., Lewandowski,K.S., Carter,D.P., Pullan,S.T., Myers,R., Vipond,R., Chand,M.	OP205068	1.00	1.00
Monkeypox/PT0302/2022	2022-06-07	2022-09-12	IIb	Europe	Homo sapiens	Portugal	Older	B.1	Isidro,J., Borges,V., Pinto,M., Sobral,D., Santos,J., Nunes,A., Mixao,V., Ferreira,R., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Lopes de Carvalho,I., Pelerito,A., Cordeiro,R., Gomes,J.P.	OP414336		
Monkeypox/PT0350/2022	2022-05-24	2022-09-12	IIb	Europe	Homo sapiens	Portugal	Older	B.1	Isidro,J., Borges,V., Pinto,M., Sobral,D., Santos,J., Nunes,A., Mixao,V., Ferreira,R., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Lopes de Carvalho,I., Pelerito,A., Cordeiro,R., Gomes,J.P.	OP414379		
Monkeypox/PT0265/2022	2022-06-17	2022-09-12	IIb	Europe	Homo sapiens	Portugal	Older	B.1	Isidro,J., Borges,V., Pinto,M., Sobral,D., Santos,J., Nunes,A., Mixao,V., Ferreira,R., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Lopes de Carvalho,I., Pelerito,A., Cordeiro,R., Gomes,J.P.	OP414305	1.00	1.00
hMPXV-IHU00007	2022-07-06	2022-09-07	IIb	Europe	Homo sapiens	France	Older	B.1	Colson,P.	OP382484		
MPXV/Germany/2022/ON/RKI503	2022-08-01	2022-10-20	IIb	Europe	Homo sapiens	Germany	Older	B.1	Brinkmann,A., Kohl,C., Pape,K., Schrick,L., Michel,J., Schaade,L., Nitsche,A.	OP689656	0.67	1.00
hMPXV/Austria/MUW1532243/2022	2022-07-06	2022-08-03	IIb	Europe	Homo sapiens	Austria	Older	B.1	Camp,J.V., Redlberger-Fritz,M., Aberle,S.W.	OP133006	1.00	1.00
MPXV/Germany/2022/RKI475	2022-07-01	2022-10-13	IIb	Europe	Homo sapiens	Germany	Older	B.1	Brinkmann,A., Kohl,C., Pape,K., Schrick,L., Michel,J., Schaade,L., Nitsche,A.	OP626113		
MPXV/Germany/2022/RKI012	2022-05-01	2022-06-07	IIb	Europe	Homo sapiens	Germany	Older	B.1	Brinkmann,A., Kohl,C., Uddin,S., Pape,K., Schrick,L., Michel,J., Schaade,L., Nitsche,A.	ON694341	1.00	1.00
MPXV_UK_2022_9000140	2022-07-06	2022-08-11	IIb	Europe	Homo sapiens	United Kingdom	Older	B.1	Groves,N., Osman,K.L., Lewandowski,K.S., Carter,D.P., Pullan,S.T., Myers,R., Vipond,R., Chand,M.	OP205104	1.00	0.67
MPXV_UK_2022_9000137	2022-07-07	2022-08-11	IIb	Europe	Homo sapiens	United Kingdom	Older	B.1	Groves,N., Osman,K.L., Lewandowski,K.S., Carter,D.P., Pullan,S.T., Myers,R., Vipond,R., Chand,M.	OP205102	0.50	1.00
MPXV_USA_2022_NY0023	2022-06-01	2022-08-26	IIb	North America	Homo sapiens	USA	Older	B.1	Gigante,C.M., Hughes,S., Zhao,H., Batra,D., Hetrick,E.E., Howard,D.T., Kovar,L., Seabolt,M.H., Weigand,M.R., Burroughs,M.S., Lee,J., Wilkins,K., McCollum,A., Hutson,C., Davidson,W., Rao,A., Baumgartner,J., Li,Y.	OP303794	1.00	1.00
MPX/Human/USA/CA-LACPHL-MA00104/2022	2022-08-11	2022-09-27	IIb	North America	Homo sapiens	USA	Older	B.1	Hemarajata,P., Green,N.M., Garrigues,J.M.	OP539889	1.00	1.00
MPXV/Germany/2022/RKI09	2022-05-01	2022-06-06	IIb	Europe	Homo sapiens	Germany	Older	B.1	Brinkmann,A., Kohl,C., Uddin,S., Pape,K., Schrick,L., Michel,J., Schaade,L., Nitsche,A.	ON682266	1.00	1.00
MPX/UZ_REGA_6/Belgium/2022	2022-05-27	2022-06-30	IIb	Europe	Homo sapiens	Belgium	Older	B.1	Vanmechelen,B., Wawina-Bokalanga,T., Logist,A.-S., Sinnesael,R., Ysebaert,L., Verlinden,J., Van Holm,B., Bloemen,M., Maes,P.	ON880422		
Monkeypox/PT0011/2022	2022-05-23	2022-06-01	IIb	Europe	Homo sapiens	Portugal	Older	B.1	Isidro,J., Borges,V., Pinto,M., Sobral,D., Santos,J.D., Nunes,A., Mixao,V., Ferreira,R., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Carvalho,I.L., Pelerito,A., Cordeiro,R., Gomes,J.P.	ON649725		
MpxV/human/CAN/UN-NML-3702/2022	2022-06-15	2022-07-14	IIb	North America	Homo sapiens	Canada	Older	B.1	Duggan,A., Hole,D., Yadav,C., Knox,N., Haidl,E., Chapel,M., Domselaar,G.V., Fernando,L., Graham,M., Antonation,K., Audet,J., Hagan,M., Safronetz,D., Leung,A., Peters,G., Go,A., Laminman,V., Kaplen,B., Jolly,G., Marchand-Austin,A., Eshaghi,A., Patel,S.N., Hasso,M., Gubbay,J.B., Olsha,R.	ON983166		
MpxV/human/CAN/UN-NML-2896/2022	2022-05-20	2022-06-21	IIb	North America	Homo sapiens	Canada	Older	B.1	Knox,N., Duggan,A., Yadav,C., Hole,D., Haidl,E., Chapel,M., Jolly,G., Domselaar,G.V., Antonation,K., Leung,A., Fernando,L., Audet,J., Hagan,M., Graham,M., Griffiths,E., Safronetz,D., Charest,H., Levade,I., Fafard,J.	ON803437		
CVR_MPXV1b	2022-05-15	2022-06-21	IIb	Europe	Homo sapiens	United Kingdom	Older	B.1	Filipe,A., Tong,L., Vattipally,S.B., Maclean,A., Gunson,R., Holden,M.T.G., Barr,D., Ho,A., Palmarini,M., Rambaut,A., Robertson,D.L., Thomson,E.C.	ON808414		
hMPXV-IHU00005	2022-07-04	2022-09-07	IIb	Europe	Homo sapiens	France	Older	B.1	Colson,P.	OP382482		
hMPXV-IHU00003	2022-07-04	2022-09-07	IIb	Europe	Homo sapiens	France	Older	B.1	Colson,P.	OP382480		
MPXV/Germany/2022/RKI172	2022-07-01	2022-07-19	IIb	Europe	Homo sapiens	Germany	Older	B.1	Brinkmann,A., Kohl,C., Pape,K., Uddin,S., Schrick,L., Michel,J., Schaade,L., Nitsche,A.	OP018597		
MPX_96X1Vd_9000217	2022-03-28	2022-09-12	IIb	Europe	Homo sapiens	United Kingdom	Older	B.1	Groves,N., Osman,K.L., Lewandowski,K.S., Carter,D.P., Pullan,S.T., Myers,R., Vipond,R., Chand,M.	OP415195		
MPXV_UK_2022_9000152	2022-05-16	2022-08-11	IIb	Europe	Homo sapiens	United Kingdom	Older	B.1	Groves,N., Osman,K.L., Lewandowski,K.S., Carter,D.P., Pullan,S.T., Myers,R., Vipond,R., Chand,M.	OP205114		
MPX/UZ_REGA_3/Belgium/2022	2022-05-27	2022-06-30	IIb	Europe	Homo sapiens	Belgium	Older	B.1	Wawina-Bokalanga,T., Vanmechelen,B., Logist,A.-S., Sinnesael,R., Ysebaert,L., Bloemen,M., Maes,P.	ON880419		
MPXV/Germany/2022/RKI513	2022-06-01	2022-10-20	IIb	Europe	Homo sapiens	Germany	Older	B.1	Brinkmann,A., Kohl,C., Pape,K., Schrick,L., Michel,J., Schaade,L., Nitsche,A.	OP689666		
MpxV/human/CAN/UN-NML-3127/2022	2022-05-30	2022-06-30	IIb	North America	Homo sapiens	Canada	Older	B.1	Duggan,A., Hole,D., Knox,N., Yadav,C., Haidl,E., Chapel,M., Domselaar,G.V., Jolly,G., Audet,J., Fernando,L., Antonation,K., Safronetz,D., Hagan,M., Griffiths,E., Leung,A., Graham,M., Peters,G., Go,A., Laminman,V., Kaplen,B., Eshaghi,A., Gubbay,J.B., Hasso,M., Marchand-Austin,A., Olsha,R., Patel,S.N.	ON880508		
MPXV_USA_2022_IL001	2022-05-01	2022-07-11	IIb	North America	Homo sapiens	USA	Older	B.1	Gigante,C.M., Ghinai,I., Seabolt,M.H., Zhao,H., Wilkins,K., Respress,J., Howard,D., Batra,D., McCollum,A., Hutson,C., Davidson,W., Rao,A., Kerins,J., Li,Y.	ON959131		
MPXV_IRBA22-14	2022-05-20	2022-06-14	IIb	Europe	Homo sapiens	France	Older	B.1	Jarjaval,F., Nolent,F., Criqui,A., Chapus,C., Lamer,O., Ferraris,O., Gorge,O.	ON755040		
MPXV_UK_2022_9000090	2022-05-25	2022-08-11	IIb	Europe	Homo sapiens	United Kingdom	Older	B.1	Groves,N., Osman,K.L., Lewandowski,K.S., Carter,D.P., Pullan,S.T., Myers,R., Vipond,R., Chand,M.	OP205139		
MPX/UZ_REGA_4/Belgium/2022	2022-05-27	2022-06-30	IIb	Europe	Homo sapiens	Belgium	Older	B.1	Vanmechelen,B., Wawina-Bokalanga,T., Logist,A.-S., Sinnesael,R., Ysebaert,L., Verlinden,J., Van Holm,B., Bloemen,M., Maes,P.	ON880420		
MPXV_USA_2022_CA001	2022-05-01	2022-06-03	IIb	North America	Homo sapiens	USA	Older	B.1	Gigante,C.M., Ventura,J., Seabolt,M.H., Wilkins,K., McCollum,A., Hutson,C., Davidson,W., Rao,A., Nash,J., Li,Y.	ON676703		
Monkeypox/PT0012/2022	2022-05-23	2022-06-01	IIb	Europe	Homo sapiens	Portugal	Older	B.1	Isidro,J., Borges,V., Pinto,M., Sobral,D., Santos,J.D., Nunes,A., Mixao,V., Ferreira,R., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Carvalho,I.L., Pelerito,A., Cordeiro,R., Gomes,J.P.	ON649719		
MPXV/Germany/2022/RKI087	2022-06-01	2022-06-27	IIb	Europe	Homo sapiens	Germany	Older	B.1	Brinkmann,A., Kohl,C., Uddin,S., Pape,K., Schrick,L., Michel,J., Jessen,H., Schaade,L., Nitsche,A.	ON853654		
MpxV/human/CAN/UN-NML-3472/2022	2022-06-02	2022-06-30	IIb	North America	Homo sapiens	Canada	Older	B.1	Duggan,A., Hole,D., Knox,N., Yadav,C., Haidl,E., Chapel,M., Domselaar,G.V., Jolly,G., Audet,J., Fernando,L., Antonation,K., Safronetz,D., Hagan,M., Griffiths,E., Leung,A., Graham,M., Peters,G., Go,A., Laminman,V., Kaplen,B., Eshaghi,A., Gubbay,J.B., Hasso,M., Marchand-Austin,A., Olsha,R., Patel,S.N.	ON880516		
CVR_MPXV1e	2022-05-15	2022-06-21	IIb	Europe	Homo sapiens	United Kingdom	Older	B.1	Filipe,A., Tong,L., Vattipally,S.B., Maclean,A., Gunson,R., Holden,M.T.G., Barr,D., Ho,A., Palmarini,M., Rambaut,A., Robertson,D.L., Thomson,E.C.	ON808417		
MPX/UZ_REGA_5/Belgium/2022	2022-05-27	2022-06-30	IIb	Europe	Homo sapiens	Belgium	Older	B.1	Vanmechelen,B., Wawina-Bokalanga,T., Logist,A.-S., Sinnesael,R., Ysebaert,L., Verlinden,J., Van Holm,B., Bloemen,M., Maes,P.	ON880421		
MPX/human/USA/UT-UPHL-82200022/2022	2022-05-20	2022-05-29	IIb	North America	Homo sapiens	USA	Older	B.1	Young,E.L., Hergert,J., Oakeson,K.F.	ON627808		
MPXV/Human/USA/CA-LACPHL-MA00354/2022	2022-10-16	2022-11-30	IIb	North America	Homo sapiens	USA	One month ago	B.1	Hemarajata,P., Green,N.M., Garrigues,J.	OP920692	1.00	0.90
MPXV/Human/USA/CA-LACPHL-MA00358/2022	2022-11-05	2022-11-30	IIb	North America	Homo sapiens	USA	One month ago	B.1	Hemarajata,P., Green,N.M., Garrigues,J.	OP920696	0.67	1.00
INS-MPXV-0016-H1	2022-07-29	2022-08-25	IIb	South America	Homo sapiens	Colombia	Older	B.1	Laiton-Donato,K., Alvarez-Diaz,D.A., Franco-Munoz,C., Ruiz-Moreno,H.A., Rojas-Estevez,P., Rosales,A., Martinez,D., Flores,A.C., Prieto,F., Walteros,D., Gomez,S., Mercado-Reyes,M.	OP295383	0.80	1.00
hMpxV/UK/LMO-034a/2022	2022-07-14	2022-09-08	IIb	Europe	Homo sapiens	United Kingdom	Older	B.1	McHugh,M.P., Maloney,D., Parker,A., Mathers,K., Dewar,R., Kenicer,J., Cotton,S., Wild,J., Templeton,K.E.	OP390199		
MpxV/human/USA/WA-UW-084325/2022	2022-08-01	2022-08-19	IIb	North America	Homo sapiens	USA	Older	B.1	Sereewit,J., Xie,H., Roychoudhury,P., Greninger,A.L.	OP257261	1.00	1.00
MPXV_USA_2022_FL002	2022-05-15	2022-06-03	IIb	North America	Homo sapiens	USA	Older	B.1	Gigante,C.M., Lee,P., Seabolt,M.H., Wilkins,K., McCollum,A., Hutson,C., Davidson,W., Rao,A., Mendoza,R., Li,Y.	ON676704	1.00	1.00
CVR_MPXV1c	2022-05-15	2022-06-21	IIb	Europe	Homo sapiens	United Kingdom	Older	B.1	Filipe,A., Tong,L., Vattipally,S.B., Maclean,A., Gunson,R., Holden,M.T.G., Barr,D., Ho,A., Palmarini,M., Rambaut,A., Robertson,D.L., Thomson,E.C.	ON808415		
Slovenia-MPXV-17-2022	2022-07-01	2022-10-11	IIb	Europe	Homo sapiens	Slovenia	Older	B.1	Zakotnik,S., Vlaj,D., Suljic,A., Zorec,T.M., Korva,M., Poljak,M., Avsic Zupanc,T.	OP605559	1.00	1.00
hMpxV/UK/LMO-032a/2022	2022-07-11	2022-09-08	IIb	Europe	Homo sapiens	United Kingdom	Older	B.1	McHugh,M.P., Maloney,D., Parker,A., Mathers,K., Dewar,R., Kenicer,J., Cotton,S., Wild,J., Templeton,K.E.	OP390197	1.00	0.50
MPXV/Germany/2022/RKI161	2022-07-01	2022-07-11	IIb	Europe	Homo sapiens	Germany	Older	B.1	Brinkmann,A., Kohl,C., Pape,K., Uddin,S., Schrick,L., Michel,J., Schaade,L., Nitsche,A.	ON959174	1.00	1.00
MPXV-USA-IL-IDPH-022	2022-06-01	2022-09-27	IIb	North America	Homo sapiens	USA	Older	B.1	Gagnon,K.T.	OP536683	1.00	1.00
Monkeypox/PT0455/2022	2022-08-04	2022-09-30	IIb	Europe	Homo sapiens	Portugal	Older	B.1	Isidro,J., Borges,V., Pinto,M., Sobral,D., Santos,J., Nunes,A., Mixao,V., Ferreira,R., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Lopes de Carvalho,I., Pelerito,A., Cordeiro,R., Gomes,J.P.	OP555536	1.00	1.00
Monkeypox/PT0317/2022	2022-06-06	2022-09-12	IIb	Europe	Homo sapiens	Portugal	Older	B.1	Isidro,J., Borges,V., Pinto,M., Sobral,D., Santos,J., Nunes,A., Mixao,V., Ferreira,R., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Lopes de Carvalho,I., Pelerito,A., Cordeiro,R., Gomes,J.P.	OP414349		
hMpxV/UK/LMO-040a/2022	2022-07-17	2022-09-08	IIb	Europe	Homo sapiens	United Kingdom	Older	B.1	McHugh,M.P., Maloney,D., Parker,A., Mathers,K., Dewar,R., Kenicer,J., Cotton,S., Wild,J., Templeton,K.E.	OP390202	1.00	0.67
MPX/PT0085/2022	2022-07-21	2022-08-17	IIb	Europe	Homo sapiens	Portugal	Older	B.1	Isidro,J., Borges,V., Pinto,M., Sobral,D., Santos,J., Nunes,A., Mixao,V., Ferreira,R., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Lopes de Carvalho,I., Pelerito,A., Cordeiro,R., Gomes,J.P.	OP245336		
