strain	accession	date	date_submitted	clade_membership	region	host	country	recency	lineage	author	dinuc_context_fraction	GA_CT_fraction
9000430	OP536802	2022-09-01	2022-09-27	IIb	Europe	Homo sapiens	United Kingdom	Older	B.1	"Groves,N., Osman,K.L., Lewandowski,K.S., Carter,D.P., Pullan,S.T., Myers,R., Vipond,R., Chand,M."	1.00	1.00
9000431	OP536803	2022-09-01	2022-09-27	IIb	Europe	Homo sapiens	United Kingdom	Older	B.1	"Groves,N., Osman,K.L., Lewandowski,K.S., Carter,D.P., Pullan,S.T., Myers,R., Vipond,R., Chand,M."	1.00	1.00
9000432	OP536804	2022-09-01	2022-09-27	IIb	Europe	Homo sapiens	United Kingdom	Older	B.1.3	"Groves,N., Osman,K.L., Lewandowski,K.S., Carter,D.P., Pullan,S.T., Myers,R., Vipond,R., Chand,M."	1.00	0.50
9000438	OP536807	2022-09-30	2022-09-27	IIb	Europe	Homo sapiens	United Kingdom	Older	B.1.2	"Groves,N., Osman,K.L., Lewandowski,K.S., Carter,D.P., Pullan,S.T., Myers,R., Vipond,R., Chand,M."	0.67	1.00
9000448	OP536811	2022-09-01	2022-09-27	IIb	Europe	Homo sapiens	United Kingdom	Older	B.1	"Groves,N., Osman,K.L., Lewandowski,K.S., Carter,D.P., Pullan,S.T., Myers,R., Vipond,R., Chand,M."	1.00	1.00
MPXV_USA_2021_MD	ON676708	2021-11-24	2022-06-03	IIb	North America	Homo sapiens	USA	Older	A.1.1	"Gigante,C.M., Myers,R., Seabolt,M.H., Wilkins,K., McCollum,A., Hutson,C., Davidson,W., Rao,A., Blythe,D., Li,Y."		
hMPXV-IHU00006	OP382483	2022-07-04	2022-09-07	IIb	Europe	Homo sapiens	France	Older	B.1	"Colson,P."		
MPXV/Germany/2022/RKI188	OP215204	2022-08-01	2022-08-12	IIb	Europe	Homo sapiens	Germany	Older	B.1	"Brinkmann,A., Kohl,C., Pape,K., Uddin,S., Schrick,L., Michel,J., Stocker,H., Schaade,L., Nitsche,A."	1.00	1.00
PEV_case	OP727820	2022-07-29	2022-10-27	IIb	Europe	Homo sapiens	Belgium	Older	B.1	"Berens-Riha,N., De Block,T., Rutgers,J., Van Gestel,L., Hens,M., Kenyon,C., Soentjens,P., Van Griensven,J., Brosius,I., Arien,K., Van Esbroeck,M., Rezende,A.M., Vercauteren,K., Liesenborghs,L."	0.60	1.00
ANT_INS_MPX_0039_L	OP693649	2022-07-29	2022-10-21	IIb	South America	Homo sapiens	Colombia	Older	B.1	"Laiton-Donato,K., Alvarez-Diaz,D.A., Franco-Munoz,C., Ruiz-Moreno,H.A., Rojas-Estevez,P., Rosales,A., Martinez,D., Flores,A., Prieto,F., Walteros,D., Gomez,S., Mercado-Reyes,M."	0.50	1.00
MPXV_FVG-ITA_01_2022	ON644344	2022-05-25	2022-06-01	IIb	Europe	Homo sapiens	Italy	Older	B.1	"Licastro,D., DeGasperi,M., Negri,C., Piscianz,E., Koncan,R., Dal Monego,S., Segat,L., D'Agaro,P."		
Monkeypox/PT0029/2022	ON843173	2022-05-27	2022-06-24	IIb	Europe	Homo sapiens	Portugal	Older	B.1	"Isidro,J., Borges,V., Pinto,M., Sobral,D., Santos,J., Nunes,A., Mixao,V., Ferreira,R., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Lopes de Carvalho,I., Pelerito,A., Cordeiro,R., Gomes,J.P."	1.00	1.00
MPX/UZ_REGA_1/Belgium/2022	ON622712	2022-05-19	2022-05-27	IIb	Europe	Homo sapiens	Belgium	Older	B.1	"Vanmechelen,B., Wawina-Bokalanga,T., Logist,A.-S., Sinnesael,R., Ysebaert,L., Verlinden,J., Bloemen,M., Maes,P."	1.00	1.00
Slovenia-MPXV-39-2022	OP605580	2022-08-01	2022-10-11	IIb	Europe	Homo sapiens	Slovenia	Older	B.1	"Zakotnik,S., Vlaj,D., Suljic,A., Zorec,T.M., Korva,M., Poljak,M., Avsic Zupanc,T."	1.00	1.00
hMPXV/Austria/MUW1525179/2022	OP019275	2022-06-10	2022-07-19	IIb	Europe	Homo sapiens	Austria	Older	B.1	"Camp,J.V., Redlberger-Fritz,M., Aberle,S.W."	1.00	0.67
CVR_MPXV1d	ON808416	2022-05-15	2022-06-21	IIb	Europe	Homo sapiens	United Kingdom	Older	B.1	"Filipe,A., Tong,L., Vattipally,S.B., Maclean,A., Gunson,R., Holden,M.T.G., Barr,D., Ho,A., Palmarini,M., Rambaut,A., Robertson,D.L., Thomson,E.C."	1.00	1.00
MPXV/Germany/2022/ON/RKI512	OP689665	2022-10-01	2022-10-20	IIb	Europe	Homo sapiens	Germany	Older	B.1	"Brinkmann,A., Kohl,C., Pape,K., Schrick,L., Michel,J., Schaade,L., Nitsche,A."		
hMPXV-IHU00001	OP382478	2022-06-13	2022-09-07	IIb	Europe	Homo sapiens	France	Older	B.1	"Colson,P."	1.00	1.00
Monkeypox/PT0235/2022	OP324543	2022-06-21	2022-08-29	IIb	Europe	Homo sapiens	Portugal	Older	B.1	"Isidro,J., Borges,V., Pinto,M., Sobral,D., Santos,J., Nunes,A., Mixao,V., Ferreira,R., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Lopes de Carvalho,I., Pelerito,A., Cordeiro,R., Gomes,J.P."		
Monkeypox/PT0203/2022	OP324514	2022-06-23	2022-08-29	IIb	Europe	Homo sapiens	Portugal	Older	B.1	"Isidro,J., Borges,V., Pinto,M., Sobral,D., Santos,J., Nunes,A., Mixao,V., Ferreira,R., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Lopes de Carvalho,I., Pelerito,A., Cordeiro,R., Gomes,J.P."	1.00	1.00
Monkeypox/PT0323/2022	OP414355	2022-06-04	2022-09-12	IIb	Europe	Homo sapiens	Portugal	Older	B.1	"Isidro,J., Borges,V., Pinto,M., Sobral,D., Santos,J., Nunes,A., Mixao,V., Ferreira,R., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Lopes de Carvalho,I., Pelerito,A., Cordeiro,R., Gomes,J.P."		1.00
MPXV_USA_2022_CA002	ON954773	2022-05-15	2022-07-09	IIb	North America	Homo sapiens	USA	Older	B.1	"Gigante,C.M., Ventura,J., Seabolt,M.H., Zhao,H., Wilkins,K., Respress,J., Howard,D., Batra,D., McCollum,A., Hutson,C., Davidson,W., Rao,A., Nash,J., Li,Y."	0.50	1.00
MPX/UZ_REGA_2/Belgium/2022	ON622713	2022-05-22	2022-05-27	IIb	Europe	Homo sapiens	Belgium	Older	B.1	"Wawina-Bokalanga,T., Vanmechelen,B., Logist,A.-S., Sinnesael,R., Ysebaert,L., Verlinden,J., Bloemen,M., Maes,P."	1.00	1.00
MPXV_GSTT_Patient1	ON645312	2022-05-11	2022-06-01	IIb	Europe	Homo sapiens	United Kingdom	Older	B.1	"Alcolea-Medina,A., Charalampous,T., Snell,L.B., Batra,R., Edgeworth,J.D."		
ANT-LDSP-ANT-MPX-24812-L	OP642382	2022-09-09	2022-10-17	IIb	South America	Homo sapiens	Colombia	Older	B.1	"Betancur,I.I.B., Velarde-Hoyos,C.-A.C.V., Gomez,R.R.G., Mercado-Reyes,M.M.R."	1.00	1.00
MPX_IMt4nT_9000212	OP415191	2022-07-01	2022-09-12	IIb	Europe	Homo sapiens	United Kingdom	Older	B.1	"Groves,N., Osman,K.L., Lewandowski,K.S., Carter,D.P., Pullan,S.T., Myers,R., Vipond,R., Chand,M."		
MPXV_UK_2022_9000062	OP205068	2022-06-05	2022-08-11	IIb	Europe	Homo sapiens	United Kingdom	Older	B.1	"Groves,N., Osman,K.L., Lewandowski,K.S., Carter,D.P., Pullan,S.T., Myers,R., Vipond,R., Chand,M."	1.00	1.00
Monkeypox/PT0302/2022	OP414336	2022-06-07	2022-09-12	IIb	Europe	Homo sapiens	Portugal	Older	B.1	"Isidro,J., Borges,V., Pinto,M., Sobral,D., Santos,J., Nunes,A., Mixao,V., Ferreira,R., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Lopes de Carvalho,I., Pelerito,A., Cordeiro,R., Gomes,J.P."		
Monkeypox/PT0350/2022	OP414379	2022-05-24	2022-09-12	IIb	Europe	Homo sapiens	Portugal	Older	B.1	"Isidro,J., Borges,V., Pinto,M., Sobral,D., Santos,J., Nunes,A., Mixao,V., Ferreira,R., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Lopes de Carvalho,I., Pelerito,A., Cordeiro,R., Gomes,J.P."		
Monkeypox/PT0265/2022	OP414305	2022-06-17	2022-09-12	IIb	Europe	Homo sapiens	Portugal	Older	B.1	"Isidro,J., Borges,V., Pinto,M., Sobral,D., Santos,J., Nunes,A., Mixao,V., Ferreira,R., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Lopes de Carvalho,I., Pelerito,A., Cordeiro,R., Gomes,J.P."	1.00	1.00
hMPXV-IHU00007	OP382484	2022-07-06	2022-09-07	IIb	Europe	Homo sapiens	France	Older	B.1	"Colson,P."		
MPXV/Germany/2022/ON/RKI503	OP689656	2022-08-01	2022-10-20	IIb	Europe	Homo sapiens	Germany	Older	B.1	"Brinkmann,A., Kohl,C., Pape,K., Schrick,L., Michel,J., Schaade,L., Nitsche,A."	0.67	1.00
hMPXV/Austria/MUW1532243/2022	OP133006	2022-07-06	2022-08-03	IIb	Europe	Homo sapiens	Austria	Older	B.1	"Camp,J.V., Redlberger-Fritz,M., Aberle,S.W."	1.00	1.00
MPXV/Germany/2022/RKI475	OP626113	2022-07-01	2022-10-13	IIb	Europe	Homo sapiens	Germany	Older	B.1	"Brinkmann,A., Kohl,C., Pape,K., Schrick,L., Michel,J., Schaade,L., Nitsche,A."		
MPXV/Germany/2022/RKI012	ON694341	2022-05-01	2022-06-07	IIb	Europe	Homo sapiens	Germany	Older	B.1	"Brinkmann,A., Kohl,C., Uddin,S., Pape,K., Schrick,L., Michel,J., Schaade,L., Nitsche,A."	1.00	1.00
MPXV_UK_2022_9000140	OP205104	2022-07-06	2022-08-11	IIb	Europe	Homo sapiens	United Kingdom	Older	B.1	"Groves,N., Osman,K.L., Lewandowski,K.S., Carter,D.P., Pullan,S.T., Myers,R., Vipond,R., Chand,M."	1.00	0.67
MPXV_UK_2022_9000137	OP205102	2022-07-07	2022-08-11	IIb	Europe	Homo sapiens	United Kingdom	Older	B.1	"Groves,N., Osman,K.L., Lewandowski,K.S., Carter,D.P., Pullan,S.T., Myers,R., Vipond,R., Chand,M."	0.50	1.00
MPXV_USA_2022_NY0023	OP303794	2022-06-01	2022-08-26	IIb	North America	Homo sapiens	USA	Older	B.1	"Gigante,C.M., Hughes,S., Zhao,H., Batra,D., Hetrick,E.E., Howard,D.T., Kovar,L., Seabolt,M.H., Weigand,M.R., Burroughs,M.S., Lee,J., Wilkins,K., McCollum,A., Hutson,C., Davidson,W., Rao,A., Baumgartner,J., Li,Y."	1.00	1.00
MPX/Human/USA/CA-LACPHL-MA00104/2022	OP539889	2022-08-11	2022-09-27	IIb	North America	Homo sapiens	USA	Older	B.1	"Hemarajata,P., Green,N.M., Garrigues,J.M."	1.00	1.00
MPXV/Germany/2022/RKI09	ON682266	2022-05-01	2022-06-06	IIb	Europe	Homo sapiens	Germany	Older	B.1	"Brinkmann,A., Kohl,C., Uddin,S., Pape,K., Schrick,L., Michel,J., Schaade,L., Nitsche,A."	1.00	1.00
MPX/UZ_REGA_6/Belgium/2022	ON880422	2022-05-27	2022-06-30	IIb	Europe	Homo sapiens	Belgium	Older	B.1	"Vanmechelen,B., Wawina-Bokalanga,T., Logist,A.-S., Sinnesael,R., Ysebaert,L., Verlinden,J., Van Holm,B., Bloemen,M., Maes,P."		
Monkeypox/PT0011/2022	ON649725	2022-05-23	2022-06-01	IIb	Europe	Homo sapiens	Portugal	Older	B.1	"Isidro,J., Borges,V., Pinto,M., Sobral,D., Santos,J.D., Nunes,A., Mixao,V., Ferreira,R., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Carvalho,I.L., Pelerito,A., Cordeiro,R., Gomes,J.P."		
MpxV/human/CAN/UN-NML-3702/2022	ON983166	2022-06-15	2022-07-14	IIb	North America	Homo sapiens	Canada	Older	B.1	"Duggan,A., Hole,D., Yadav,C., Knox,N., Haidl,E., Chapel,M., Domselaar,G.V., Fernando,L., Graham,M., Antonation,K., Audet,J., Hagan,M., Safronetz,D., Leung,A., Peters,G., Go,A., Laminman,V., Kaplen,B., Jolly,G., Marchand-Austin,A., Eshaghi,A., Patel,S.N., Hasso,M., Gubbay,J.B., Olsha,R."		
MpxV/human/CAN/UN-NML-2896/2022	ON803437	2022-05-20	2022-06-21	IIb	North America	Homo sapiens	Canada	Older	B.1	"Knox,N., Duggan,A., Yadav,C., Hole,D., Haidl,E., Chapel,M., Jolly,G., Domselaar,G.V., Antonation,K., Leung,A., Fernando,L., Audet,J., Hagan,M., Graham,M., Griffiths,E., Safronetz,D., Charest,H., Levade,I., Fafard,J."		
CVR_MPXV1b	ON808414	2022-05-15	2022-06-21	IIb	Europe	Homo sapiens	United Kingdom	Older	B.1	"Filipe,A., Tong,L., Vattipally,S.B., Maclean,A., Gunson,R., Holden,M.T.G., Barr,D., Ho,A., Palmarini,M., Rambaut,A., Robertson,D.L., Thomson,E.C."		
hMPXV-IHU00005	OP382482	2022-07-04	2022-09-07	IIb	Europe	Homo sapiens	France	Older	B.1	"Colson,P."		
hMPXV-IHU00003	OP382480	2022-07-04	2022-09-07	IIb	Europe	Homo sapiens	France	Older	B.1	"Colson,P."		
MPXV/Germany/2022/RKI172	OP018597	2022-07-01	2022-07-19	IIb	Europe	Homo sapiens	Germany	Older	B.1	"Brinkmann,A., Kohl,C., Pape,K., Uddin,S., Schrick,L., Michel,J., Schaade,L., Nitsche,A."		
MPX_96X1Vd_9000217	OP415195	2022-03-28	2022-09-12	IIb	Europe	Homo sapiens	United Kingdom	Older	B.1	"Groves,N., Osman,K.L., Lewandowski,K.S., Carter,D.P., Pullan,S.T., Myers,R., Vipond,R., Chand,M."		
MPXV_UK_2022_9000152	OP205114	2022-05-16	2022-08-11	IIb	Europe	Homo sapiens	United Kingdom	Older	B.1	"Groves,N., Osman,K.L., Lewandowski,K.S., Carter,D.P., Pullan,S.T., Myers,R., Vipond,R., Chand,M."		
MPX/UZ_REGA_3/Belgium/2022	ON880419	2022-05-27	2022-06-30	IIb	Europe	Homo sapiens	Belgium	Older	B.1	"Wawina-Bokalanga,T., Vanmechelen,B., Logist,A.-S., Sinnesael,R., Ysebaert,L., Bloemen,M., Maes,P."		
MPXV/Germany/2022/RKI513	OP689666	2022-06-01	2022-10-20	IIb	Europe	Homo sapiens	Germany	Older	B.1	"Brinkmann,A., Kohl,C., Pape,K., Schrick,L., Michel,J., Schaade,L., Nitsche,A."		
MpxV/human/CAN/UN-NML-3127/2022	ON880508	2022-05-30	2022-06-30	IIb	North America	Homo sapiens	Canada	Older	B.1	"Duggan,A., Hole,D., Knox,N., Yadav,C., Haidl,E., Chapel,M., Domselaar,G.V., Jolly,G., Audet,J., Fernando,L., Antonation,K., Safronetz,D., Hagan,M., Griffiths,E., Leung,A., Graham,M., Peters,G., Go,A., Laminman,V., Kaplen,B., Eshaghi,A., Gubbay,J.B., Hasso,M., Marchand-Austin,A., Olsha,R., Patel,S.N."		
MPXV_USA_2022_IL001	ON959131	2022-05-01	2022-07-11	IIb	North America	Homo sapiens	USA	Older	B.1	"Gigante,C.M., Ghinai,I., Seabolt,M.H., Zhao,H., Wilkins,K., Respress,J., Howard,D., Batra,D., McCollum,A., Hutson,C., Davidson,W., Rao,A., Kerins,J., Li,Y."		
MPXV_IRBA22-14	ON755040	2022-05-20	2022-06-14	IIb	Europe	Homo sapiens	France	Older	B.1	"Jarjaval,F., Nolent,F., Criqui,A., Chapus,C., Lamer,O., Ferraris,O., Gorge,O."		
MPXV_UK_2022_9000090	OP205139	2022-05-25	2022-08-11	IIb	Europe	Homo sapiens	United Kingdom	Older	B.1	"Groves,N., Osman,K.L., Lewandowski,K.S., Carter,D.P., Pullan,S.T., Myers,R., Vipond,R., Chand,M."		
MPX/UZ_REGA_4/Belgium/2022	ON880420	2022-05-27	2022-06-30	IIb	Europe	Homo sapiens	Belgium	Older	B.1	"Vanmechelen,B., Wawina-Bokalanga,T., Logist,A.-S., Sinnesael,R., Ysebaert,L., Verlinden,J., Van Holm,B., Bloemen,M., Maes,P."		
MPXV_USA_2022_CA001	ON676703	2022-05-01	2022-06-03	IIb	North America	Homo sapiens	USA	Older	B.1	"Gigante,C.M., Ventura,J., Seabolt,M.H., Wilkins,K., McCollum,A., Hutson,C., Davidson,W., Rao,A., Nash,J., Li,Y."		
Monkeypox/PT0012/2022	ON649719	2022-05-23	2022-06-01	IIb	Europe	Homo sapiens	Portugal	Older	B.1	"Isidro,J., Borges,V., Pinto,M., Sobral,D., Santos,J.D., Nunes,A., Mixao,V., Ferreira,R., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Carvalho,I.L., Pelerito,A., Cordeiro,R., Gomes,J.P."		
MPXV/Germany/2022/RKI087	ON853654	2022-06-01	2022-06-27	IIb	Europe	Homo sapiens	Germany	Older	B.1	"Brinkmann,A., Kohl,C., Uddin,S., Pape,K., Schrick,L., Michel,J., Jessen,H., Schaade,L., Nitsche,A."		
MpxV/human/CAN/UN-NML-3472/2022	ON880516	2022-06-02	2022-06-30	IIb	North America	Homo sapiens	Canada	Older	B.1	"Duggan,A., Hole,D., Knox,N., Yadav,C., Haidl,E., Chapel,M., Domselaar,G.V., Jolly,G., Audet,J., Fernando,L., Antonation,K., Safronetz,D., Hagan,M., Griffiths,E., Leung,A., Graham,M., Peters,G., Go,A., Laminman,V., Kaplen,B., Eshaghi,A., Gubbay,J.B., Hasso,M., Marchand-Austin,A., Olsha,R., Patel,S.N."		
CVR_MPXV1e	ON808417	2022-05-15	2022-06-21	IIb	Europe	Homo sapiens	United Kingdom	Older	B.1	"Filipe,A., Tong,L., Vattipally,S.B., Maclean,A., Gunson,R., Holden,M.T.G., Barr,D., Ho,A., Palmarini,M., Rambaut,A., Robertson,D.L., Thomson,E.C."		
MPX/UZ_REGA_5/Belgium/2022	ON880421	2022-05-27	2022-06-30	IIb	Europe	Homo sapiens	Belgium	Older	B.1	"Vanmechelen,B., Wawina-Bokalanga,T., Logist,A.-S., Sinnesael,R., Ysebaert,L., Verlinden,J., Van Holm,B., Bloemen,M., Maes,P."		
MPX/human/USA/UT-UPHL-82200022/2022	ON627808	2022-05-20	2022-05-29	IIb	North America	Homo sapiens	USA	Older	B.1	"Young,E.L., Hergert,J., Oakeson,K.F."		
MPXV/Human/USA/CA-LACPHL-MA00354/2022	OP920692	2022-10-16	2022-11-30	IIb	North America	Homo sapiens	USA	One month ago	B.1	"Hemarajata,P., Green,N.M., Garrigues,J."	1.00	0.90
MPXV/Human/USA/CA-LACPHL-MA00358/2022	OP920696	2022-11-05	2022-11-30	IIb	North America	Homo sapiens	USA	One month ago	B.1	"Hemarajata,P., Green,N.M., Garrigues,J."	0.67	1.00
INS-MPXV-0016-H1	OP295383	2022-07-29	2022-08-25	IIb	South America	Homo sapiens	Colombia	Older	B.1	"Laiton-Donato,K., Alvarez-Diaz,D.A., Franco-Munoz,C., Ruiz-Moreno,H.A., Rojas-Estevez,P., Rosales,A., Martinez,D., Flores,A.C., Prieto,F., Walteros,D., Gomez,S., Mercado-Reyes,M."	0.80	1.00
hMpxV/UK/LMO-034a/2022	OP390199	2022-07-14	2022-09-08	IIb	Europe	Homo sapiens	United Kingdom	Older	B.1	"McHugh,M.P., Maloney,D., Parker,A., Mathers,K., Dewar,R., Kenicer,J., Cotton,S., Wild,J., Templeton,K.E."		
MpxV/human/USA/WA-UW-084325/2022	OP257261	2022-08-01	2022-08-19	IIb	North America	Homo sapiens	USA	Older	B.1	"Sereewit,J., Xie,H., Roychoudhury,P., Greninger,A.L."	1.00	1.00
MPXV_USA_2022_FL002	ON676704	2022-05-15	2022-06-03	IIb	North America	Homo sapiens	USA	Older	B.1	"Gigante,C.M., Lee,P., Seabolt,M.H., Wilkins,K., McCollum,A., Hutson,C., Davidson,W., Rao,A., Mendoza,R., Li,Y."	1.00	1.00
CVR_MPXV1c	ON808415	2022-05-15	2022-06-21	IIb	Europe	Homo sapiens	United Kingdom	Older	B.1	"Filipe,A., Tong,L., Vattipally,S.B., Maclean,A., Gunson,R., Holden,M.T.G., Barr,D., Ho,A., Palmarini,M., Rambaut,A., Robertson,D.L., Thomson,E.C."		
Slovenia-MPXV-17-2022	OP605559	2022-07-01	2022-10-11	IIb	Europe	Homo sapiens	Slovenia	Older	B.1	"Zakotnik,S., Vlaj,D., Suljic,A., Zorec,T.M., Korva,M., Poljak,M., Avsic Zupanc,T."	1.00	1.00
hMpxV/UK/LMO-032a/2022	OP390197	2022-07-11	2022-09-08	IIb	Europe	Homo sapiens	United Kingdom	Older	B.1	"McHugh,M.P., Maloney,D., Parker,A., Mathers,K., Dewar,R., Kenicer,J., Cotton,S., Wild,J., Templeton,K.E."	1.00	0.50
MPXV/Germany/2022/RKI161	ON959174	2022-07-01	2022-07-11	IIb	Europe	Homo sapiens	Germany	Older	B.1	"Brinkmann,A., Kohl,C., Pape,K., Uddin,S., Schrick,L., Michel,J., Schaade,L., Nitsche,A."	1.00	1.00
MPXV-USA-IL-IDPH-022	OP536683	2022-06-01	2022-09-27	IIb	North America	Homo sapiens	USA	Older	B.1	"Gagnon,K.T."	1.00	1.00
Monkeypox/PT0455/2022	OP555536	2022-08-04	2022-09-30	IIb	Europe	Homo sapiens	Portugal	Older	B.1	"Isidro,J., Borges,V., Pinto,M., Sobral,D., Santos,J., Nunes,A., Mixao,V., Ferreira,R., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Lopes de Carvalho,I., Pelerito,A., Cordeiro,R., Gomes,J.P."	1.00	1.00
Monkeypox/PT0317/2022	OP414349	2022-06-06	2022-09-12	IIb	Europe	Homo sapiens	Portugal	Older	B.1	"Isidro,J., Borges,V., Pinto,M., Sobral,D., Santos,J., Nunes,A., Mixao,V., Ferreira,R., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Lopes de Carvalho,I., Pelerito,A., Cordeiro,R., Gomes,J.P."		
hMpxV/UK/LMO-040a/2022	OP390202	2022-07-17	2022-09-08	IIb	Europe	Homo sapiens	United Kingdom	Older	B.1	"McHugh,M.P., Maloney,D., Parker,A., Mathers,K., Dewar,R., Kenicer,J., Cotton,S., Wild,J., Templeton,K.E."	1.00	0.67
