# BEAST v1.10.5 Prerelease #23570d1
# Generated Wed Nov 09 17:15:22 PST 2022 [seed=1668042916828]
# -threads 10 -save_every 2000000 -beagle 235hmpxv_logistic.xml
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	logistic.popSize	logistic.growthRate	logistic.t50	kappa	frequencies1	frequencies2	frequencies3	frequencies4	alpha	clock.rate	meanRate	treeLikelihood	branchRates	coalescent
250000	-29955.939207323965	-610.1976949273118	-29345.741512396653	0.723125025781536	2022.0741352481912	43.36486933204237	34.88850179673168	25.05252890010942	0.42366804462177654	31.418429898028492	0.33342606890899007	0.17170692307705177	0.16481388910314537	0.3300531189108129	0.020807948636145185	4.770976240281585E-4	4.7709762402815847E-4	-29345.741512396653	0.0	-576.8369585418005
275000	-29937.66360721007	-617.5518909993965	-29320.111716210675	0.8003747995039774	2021.9968854744686	42.70574610086142	24.072333790799266	20.40050843727004	0.4211285981111924	28.45845660059852	0.33775642545015294	0.1667640581709874	0.16605039656052803	0.32942911981833156	0.03869707857275459	4.839104166088563E-4	4.839104166088566E-4	-29320.111716210675	0.0	-589.4292946275324
300000	-29853.02103557546	-616.0118812098535	-29237.00915436561	0.7722599439151481	2022.0250003300575	42.5707521314281	23.447126740368304	17.669962970527788	0.4032317354265173	29.291488823763334	0.33188033906864556	0.1676991030504636	0.17110456454335735	0.32931599333753325	0.0342653136449658	5.344391810617504E-4	5.344391810617502E-4	-29237.00915436561	0.0	-590.5825269333262
325000	-29861.89016426384	-646.4185433018799	-29215.471620961962	0.7376773415356157	2022.059582932437	44.533720158106675	19.944104566625402	15.676478556136674	0.4264041310358441	22.922621943660783	0.3266223823009134	0.16700351499247168	0.17374648712053398	0.3326276155860804	0.028840152512076722	4.4198813132136175E-4	4.4198813132136186E-4	-29215.471620961962	0.0	-623.7542986919749
350000	-29837.417999396395	-656.1696128310764	-29181.24838656532	0.9566428164398331	2021.8406174575327	46.16190278261408	24.84361748482775	12.60965131405419	0.40996016797463136	30.309645468852665	0.33328047982587095	0.16534636793701052	0.17017101970808546	0.3312021325290327	0.04238642115800634	4.5651869165709043E-4	4.5651869165709005E-4	-29181.24838656532	0.0	-635.6399453502926
375000	-29743.85570461961	-638.3366771434876	-29105.519027476123	0.7917162195830935	2022.0055440543895	45.298556276729414	30.507586430559492	17.212806968854036	0.4144113338053003	24.258549601216973	0.33169621974108304	0.16523289164426383	0.1702010629274838	0.33286982568716894	0.015504258082685855	4.4501851426556914E-4	4.450185142655697E-4	-29105.519027476123	0.0	-613.602767261019
400000	-29761.11716152617	-645.7483798879842	-29115.368781638186	0.8303142929258199	2021.9669459810468	44.95248054498718	26.65105322473756	16.779022915435153	0.42292867938232614	24.29832606772084	0.33145380178005174	0.16926779903534972	0.1726003548016692	0.3266780443829289	0.03618290578266381	4.2076077703862035E-4	4.2076077703861976E-4	-29115.368781638186	0.0	-621.5381092617346
425000	-29757.5290015744	-663.7959571253551	-29093.733044449044	0.8249342190053132	2021.9723260549672	48.76498036859416	35.97601335477863	14.554016113568757	0.3968060358550639	30.30144845339396	0.33167648870961813	0.17190393910016602	0.16975219658760513	0.3266673756026104	0.05589536399822414	4.5079222352560665E-4	4.507922235256066E-4	-29093.733044449044	0.0	-640.9253433128863
450000	-29752.777126942667	-667.2717323893646	-29085.505394553304	0.8592060135254856	2021.9380542604472	49.19544065476537	30.783161982062694	16.689257912251456	0.4379884719772879	26.990448121149658	0.3352291400739872	0.16719401273260548	0.1672640717618362	0.33031277543157106	0.1341507445866198	4.128581291190023E-4	4.1285812911900265E-4	-29085.505394553304	0.0	-642.5552419416878
475000	-29739.885939965705	-651.6695965634191	-29088.216343402284	0.7950856155602494	2022.0021746584123	45.184382012244214	31.28574602951565	14.11625310382933	0.4009360279215424	29.893205727215214	0.3313152245741803	0.16838557544432176	0.16888828623444155	0.3314109137470565	0.01788626275117533	4.2778009588654393E-4	4.2778009588654355E-4	-29088.216343402284	0.0	-629.486891150499
500000	-29689.118486575546	-637.9577189464701	-29051.160767629077	0.8078533085863955	2021.9894069653863	44.03442737829402	25.098641733009718	14.459515706760934	0.40584750861003865	19.143807624870956	0.3327570675778053	0.1656047107186946	0.16815079651313106	0.33348742519036906	0.07570687152237314	4.6315170821189047E-4	4.631517082118903E-4	-29051.160767629077	0.0	-616.6024024270987
525000	-29655.353937874042	-622.2820053708302	-29033.07193250321	0.9481122077260644	2021.8491480662465	41.566122944808775	30.692029133805356	11.66156489518497	0.3358604756665092	22.8204778112715	0.3302245163281787	0.1667647291948211	0.16962435969315617	0.33338639478384413	0.09415860322452738	5.131895474094515E-4	5.13189547409452E-4	-29033.07193250321	0.0	-603.0815218624912
550000	-29639.518577531482	-602.854041755376	-29036.664535776104	0.8371744822850327	2021.9600857916876	38.16350649580289	42.52417991361877	9.534406395528784	0.23796046490393055	20.893654258073358	0.3317575826816598	0.16736190322029032	0.17098193964601735	0.32989857445203263	0.08154578755652518	5.025789911188139E-4	5.02578991118813E-4	-29036.664535776104	0.0	-585.6857146987217
575000	-29681.64958792524	-635.6419397107508	-29046.00764821449	0.8958206497737375	2021.901439624199	44.02940918155101	47.90803418734125	11.272594822749385	0.3100960577213805	19.88568914979396	0.33148372384247493	0.16331752525059626	0.1743309914827803	0.3308677594241484	0.07771971714696978	4.5253482662351057E-4	4.52534826623512E-4	-29046.00764821449	0.0	-616.7370668585288
600000	-29647.8504287175	-628.4533326705883	-29019.39709604691	0.9001268714701763	2021.8971334025025	41.52885226449936	25.107481023015236	10.38442050552526	0.34827663396901826	27.095387543771785	0.32801997099978636	0.1661660107255107	0.16901925231877576	0.3367947659559272	0.003794670103357907	4.4196054890189104E-4	4.4196054890189126E-4	-29019.39709604691	0.0	-610.4966076277127
625000	-29648.91693769209	-636.0638409810352	-29012.853096711056	0.8616415974832548	2021.9356186764894	42.496999430019166	20.491069562787466	11.630749459538055	0.4013856566246487	29.037561072634894	0.3310563097394658	0.16506689993862605	0.1661386558600596	0.3377381344618486	0.056926568832373126	4.533074159441524E-4	4.533074159441532E-4	-29012.853096711056	0.0	-616.785066153744
650000	-29652.9395395704	-635.3835522485906	-29017.55598732181	0.8548834262390448	2021.9423768477336	42.4142927968277	14.117585659540035	13.257708474905545	0.45037000438979047	28.66102540692095	0.3299758978386138	0.1703399581669077	0.1667167049865839	0.3329674390078945	0.19534364244355318	4.695887967971536E-4	4.6958879679715403E-4	-29017.55598732181	0.0	-614.6063351754515
675000	-29610.541883956736	-631.1891481370255	-28979.35273581971	0.8856411560759109	2021.9116191178966	42.19903232710102	20.217082292050787	12.715688070860411	0.41446797788363826	23.384322033522082	0.33017153772020624	0.16887387259426428	0.16581214699825125	0.33514244268727805	0.03646653438042505	4.162937883089178E-4	4.1629378830891774E-4	-28979.35273581971	0.0	-611.409566772492
700000	-29598.49442575619	-602.6802561084886	-28995.814169647703	0.7637924087448671	2022.0334678652277	39.36432631633678	19.6526057774631	17.708217558444595	0.41136314936979157	26.601464448245252	0.3293922794708331	0.16794029324278506	0.17177226358146472	0.330895163704917	0.24520100582667456	5.086865935787474E-4	5.086865935787474E-4	-28995.814169647703	0.0	-577.20723943729
725000	-29592.618638609903	-598.1457415005646	-28994.47289710934	0.7118272752421136	2022.0854329987305	39.10195680329001	23.724975796450337	15.717259096090556	0.37781790248251923	31.489632447597053	0.3344429103204478	0.16362886357212778	0.1736134675340764	0.3283147585733478	0.09102023380304432	4.7402279882189697E-4	4.7402279882189697E-4	-28994.47289710934	0.0	-574.3596682837556
750000	-29623.46942787456	-626.3162248075913	-28997.15320306697	0.7733872578889892	2022.0238730160836	42.010438212059476	16.839317129519348	15.548240777509905	0.4305400431283268	17.874320283452086	0.33256047182767245	0.1649991087723114	0.1654903405250236	0.3369500788749924	0.03723961806989245	4.528651902521751E-4	4.5286519025217534E-4	-28997.15320306697	0.0	-604.5010401935954
775000	-29620.695197763544	-638.9342523022609	-28981.760945461283	0.8631328354264075	2021.9341274385463	43.277674219730734	32.61103640072198	10.395712894048053	0.32386101173255766	19.640556438935377	0.3267951655546089	0.1647082802262018	0.17315675291103702	0.3353398013081522	0.35371301267027155	4.358586512983592E-4	4.3585865129835863E-4	-28981.760945461283	0.0	-620.7670590586711
800000	-29570.885453551375	-634.4116812102051	-28936.47377234117	0.9332614454583529	2021.8639988285142	42.94128132721552	31.207521806405484	10.09921722829001	0.310560521495997	30.724198149371347	0.3266739501967899	0.1686821924269081	0.1693124205053629	0.335331436870939	0.23008970793110364	4.509871283965744E-4	4.5098712839657497E-4	-28936.47377234117	0.0	-615.7543737780916
825000	-29582.54053974587	-621.4851891671386	-28961.055350578732	0.8595369395693652	2021.9377233344032	41.42626743261771	24.53579431686557	12.3537228949076	0.36980756958197747	29.85908897351088	0.3312766432289406	0.1707445859197339	0.16516759325572722	0.3328111775955983	0.15053431655437088	5.678987743221681E-4	5.67898774322168E-4	-28961.055350578732	0.0	-601.0456412175485
850000	-29580.95672167127	-634.9355860075276	-28946.021135663745	0.7870170357085593	2022.0102432382641	45.35791157572913	28.7003885515873	20.173071823731718	0.42685613652099835	27.620847653297982	0.3316845579622639	0.1648147050101218	0.17000771012873597	0.33349302689887855	0.3499087159009155	4.390983291662293E-4	4.3909832916622945E-4	-28946.021135663745	0.0	-606.316646005464
875000	-29588.12479720193	-636.3661351488308	-28951.7586620531	0.7854601598860466	2022.0118001140866	43.46915612247396	17.457501410332593	18.018505464438384	0.46059594462424186	34.501303790040026	0.33204227817088244	0.16887519431463716	0.1658426036941818	0.3332399238202988	0.1032974665567599	4.1588407811414226E-4	4.158840781141422E-4	-28951.7586620531	0.0	-610.3238123579592
900000	-29593.698586769046	-630.5355638587193	-28963.163022910325	0.7939031623122466	2022.0033571116603	42.527489411591375	29.98695658448871	16.147655388578617	0.39306009660170305	30.108588528494106	0.33463666183835705	0.1630249424169335	0.16893444209541064	0.33340395364929903	0.4522324863949494	4.403825459154621E-4	4.4038254591546183E-4	-28963.163022910325	0.0	-605.4769516332568
925000	-29610.784349673922	-661.5769137825104	-28949.20743589141	0.9875887617158564	2021.8096715122567	45.99053546262714	23.125567116507522	12.231156345205862	0.413050736088748	25.72619202618717	0.3366754419033749	0.16449189786641955	0.16951850772440546	0.3293141525058001	0.019963982726626743	3.9261363623830097E-4	3.9261363623830064E-4	-28949.20743589141	0.0	-641.950642597216
950000	-29607.546807217914	-678.6095756043813	-28928.937231613534	0.8701632966243689	2021.9270969773481	48.88041382512079	24.75831738529631	13.391530579602037	0.4346186254076191	23.919116071908434	0.3245306134475757	0.16912054083726202	0.17233613221572322	0.334012713499439	0.6543124400517552	4.066441437692307E-4	4.066441437692302E-4	-28928.937231613534	0.0	-656.6619062918058
975000	-29614.801469996397	-670.1168736676937	-28944.6845963287	0.8044117676073466	2021.9928485063654	48.172601276700746	18.76029451555336	20.80925902814447	0.5047246975347234	31.55857085384882	0.3202055347774597	0.17423350367246065	0.16899158452287205	0.33656937702720746	0.1489185150658599	3.999405179524431E-4	3.9994051795244336E-4	-28944.6845963287	0.0	-641.3521727589707
1000000	-29564.977636105945	-633.6097769517119	-28931.367859154234	0.7241250248291335	2022.0731352491434	42.765358640764696	15.488241127564372	25.486790201722066	0.4974720907166857	25.036726295604208	0.32922091177493434	0.16804007645985913	0.16860472188329084	0.33413428988191557	0.4053013694411646	4.217478941025228E-4	4.217478941025229E-4	-28931.367859154234	0.0	-600.4240599910979
1025000	-29559.686692353986	-633.987256372645	-28925.69943598134	0.7934000196537524	2022.0038602543189	41.97844548566875	17.596545411288417	16.73731642527747	0.4578154763749576	28.316901346245082	0.33175309421419996	0.16746848975157688	0.16609907993117481	0.33467933610304806	0.9005733867315081	4.19841868435991E-4	4.19841868435991E-4	-28925.69943598134	0.0	-608.1299333144706
1050000	-29592.32804375043	-652.4146573907989	-28939.91338635963	0.9001027434597181	2021.897157530513	44.56385757923591	19.11515189000085	13.483210206548844	0.42719102570816136	28.056214055102043	0.33071194054822595	0.16874555170849279	0.17275306616692868	0.3277894415763522	0.4131190896133218	4.378248923595315E-4	4.3782489235953085E-4	-28939.91338635963	0.0	-630.7266630977805
1075000	-29579.334356475327	-655.9939810744412	-28923.340375400887	0.8607468426110556	2021.9365134313616	45.48997419220402	23.93815683764969	13.836619191584877	0.42324469415895977	24.26779549340443	0.3295207660615735	0.16737704370236117	0.16675712743532173	0.33634506280074306	0.34819982308690955	4.0816469598427415E-4	4.081646959842744E-4	-28923.340375400887	0.0	-634.2124546045097
1100000	-29562.9165630927	-630.6969063139425	-28932.219656778754	0.7981591962858249	2021.9991010776869	41.78564140953381	17.851823137547754	13.166292829565727	0.41605538153976346	42.54632695894108	0.3309395831159903	0.16577804336513252	0.1666991788821408	0.3365831946367358	0.28599615983702964	4.5963417306379176E-4	4.596341730637916E-4	-28932.219656778754	0.0	-608.5545546589184
1125000	-29562.70847607358	-624.3278726213085	-28938.38060345227	0.8157359001698066	2021.9815243738028	41.81529342977584	32.87427366341642	14.2115519960862	0.36676917344744814	18.458039710102152	0.3304155650471208	0.1668849838583141	0.17086096022269437	0.3318384908718704	0.18476380014719654	4.498404446282088E-4	4.4984044462820813E-4	-28938.38060345227	0.0	-602.8141550616185
1150000	-29570.31246046734	-643.2947380362674	-28927.017722431072	0.9719956392006566	2021.8252646347719	43.66473065554057	24.075285935241727	10.437326601625328	0.3743172252918788	24.340996036102812	0.33077563900651574	0.16851463046909307	0.17344460482846671	0.3272651256959241	0.5531606410704706	4.709377866384562E-4	4.709377866384552E-4	-28927.017722431072	0.0	-624.489635927417
1175000	-29530.65684732055	-610.4309242109582	-28920.225923109592	0.8003890867937359	2021.9968711871788	39.174617428688634	18.031349629641085	13.818141553328386	0.40266562247439514	24.46977459206415	0.33302162955737585	0.166204528641539	0.17215690236323397	0.3286169394378508	1.200603665512967	5.151199952220085E-4	5.151199952220089E-4	-28920.225923109592	0.0	-587.2265064156865
1200000	-29536.042488108676	-601.4388988478316	-28934.603589260845	0.7710428595290809	2022.0262174144434	38.20196892687962	18.01931112506793	16.261407943373715	0.4016142420277402	30.180458595128556	0.3284090817012371	0.1677105591094461	0.17162922146097492	0.3322511377283416	0.31044149965461093	5.173708501506597E-4	5.173708501506599E-4	-28934.603589260845	0.0	-577.0533790739328
1225000	-29571.95747080326	-632.6192148229427	-28939.338255980318	0.7506157906114366	2022.0466444833612	42.414411834890565	28.04869538650318	14.316204155197138	0.38145063768365217	23.50475129194413	0.33738818149689154	0.16430785707697426	0.1662649973089624	0.33203896411717154	0.409320478386457	4.473395928765073E-4	4.473395928765077E-4	-28939.338255980318	0.0	-610.1537750363941
1250000	-29531.14957743047	-605.2109281414042	-28925.938649289066	0.7604134167971489	2022.0368468571755	38.82004467487692	13.690686062981431	17.492332321193928	0.4363788321912877	30.183137073729007	0.32815575682733633	0.16878871881823918	0.17237939802542318	0.33067612632900106	0.2519982191854726	4.8476577071555617E-4	4.8476577071555617E-4	-28925.938649289066	0.0	-579.9858733534566
1275000	-29563.593526059845	-639.64019640036	-28923.953329659485	0.7359990758328518	2022.0612611981398	43.23162421925383	19.031625832137006	18.232684642437672	0.46133998712875374	36.721651610129605	0.3302648810224044	0.17035907373944098	0.16990964962706373	0.32946639561109076	0.6079288128779802	4.4850104755433766E-4	4.4850104755433755E-4	-28923.953329659485	0.0	-612.1230573061405
1300000	-29567.838546197054	-631.1134288664887	-28936.725117330567	0.8656021144631588	2021.9316581595094	41.90951746849106	16.1373359876746	15.12435562624791	0.4531162980459373	32.28693518019714	0.32618030093880795	0.16888839162304073	0.17004497495636592	0.3348863324817851	0.29572705129202415	4.435295775393735E-4	4.435295775393734E-4	-28936.725117330567	0.0	-607.8318325674293
1325000	-29570.882828544003	-650.0127050200381	-28920.870123523964	0.8217761933945235	2021.975484080578	44.81689999541504	21.852236758470774	17.467196807020585	0.4587875041576246	26.75977679605861	0.33035289988400085	0.1642948082586411	0.17070422086731968	0.334648070990038	0.16291157693132172	4.1410587692466424E-4	4.1410587692466505E-4	-28920.870123523964	0.0	-624.824587704089
1350000	-29594.6420486476	-658.7580550424758	-28935.883993605126	0.957035422606288	2021.8402248513662	44.49454354482968	19.44689593299449	13.279265473078517	0.45648332603963554	29.714389501402284	0.3316242082802	0.16580622166869788	0.16709045613192694	0.335479113919175	0.6380140621091528	4.441218012316985E-4	4.441218012316979E-4	-28935.883993605126	0.0	-636.6627516642363
1375000	-29582.309855013056	-660.3146425071135	-28921.995212505943	0.9908196639412639	2021.8064406100314	45.33553289144913	14.917532547646635	10.14157525000907	0.4720072622066051	27.173164518382954	0.3290548293063251	0.16940814081593297	0.17102989430668047	0.3305071355710613	0.3391423696370274	4.2991036507313246E-4	4.2991036507313213E-4	-28921.995212505943	0.0	-642.4436088267715
1400000	-29618.70574463432	-689.1330958189194	-28929.5726488154	1.0584891124964164	2021.7387711614763	50.165969729416815	46.7285825960874	8.845868372243267	0.3180816976842106	24.3588394848972	0.33184227574019914	0.16617454688261368	0.17173612717035877	0.33024705020682843	0.1167985335662603	3.7784322041058556E-4	3.778432204105862E-4	-28929.5726488154	0.0	-672.1272449029609
1425000	-29610.54849852967	-683.3140582822065	-28927.234440247466	0.8972402988836774	2021.900019975089	49.226298682867146	59.246591858073984	9.498993584285211	0.2902501177214552	28.223955019134728	0.33078340198126743	0.16802463984790228	0.16808645963652255	0.33310549853430765	0.9337485107515952	4.145725544072025E-4	4.1457255440720183E-4	-28927.234440247466	0.0	-663.4229174901658
1450000	-29550.378679033984	-616.7185409619312	-28933.660138072053	0.9227100098803704	2021.8745502640922	40.66752481023975	37.739995376871306	10.24817878801627	0.27978104150805877	24.835698095570805	0.32652850680325946	0.16691895092720482	0.1730126058338543	0.33353993643568125	0.7939088123672365	4.923501460173147E-4	4.923501460173144E-4	-28933.660138072053	0.0	-597.1230780503678
1475000	-29537.222624371967	-606.3924983631987	-28930.83012600877	0.7923960557690699	2022.0048642182035	38.803990304074915	17.24098345307469	13.27041537892344	0.3971970924595261	28.28778918737395	0.32950567852718954	0.16953870628261442	0.1664269285257167	0.3345286866644792	1.4555812984944951	4.6846646824742473E-4	4.684664682474247E-4	-28930.83012600877	0.0	-582.9150448210894
1500000	-29568.00340265309	-622.8614041792441	-28945.141998473846	0.8227409030695229	2021.9745193709032	41.07443803123468	48.51264855165119	10.167354501324905	0.2774745618262436	33.04451586532342	0.33225129159457045	0.16318135845048148	0.1680379459403979	0.33652940401455017	0.24153649500497015	4.727051723515736E-4	4.7270517235157374E-4	-28945.141998473846	0.0	-603.4844034354581
1525000	-29564.61487674055	-628.8869456500023	-28935.727931090547	0.7932787894006342	2022.003981484572	42.025226931229405	35.12253884848063	13.576710006836258	0.35777491837970354	23.80588281725098	0.3392612149459432	0.167740402739749	0.16261102566639268	0.3303873566479154	0.6535975315442109	4.0665802117241225E-4	4.0665802117241187E-4	-28935.727931090547	0.0	-606.4171876075252
1550000	-29531.25119924345	-605.4070897472692	-28925.844109496178	0.7106470075706676	2022.0866132664019	39.33420209574996	18.85281011222955	18.438613069704644	0.4132218543038716	26.446439903692674	0.33300563130315397	0.16909242810944197	0.16706625761075453	0.3308356829766499	0.25749586711629774	5.232435514267793E-4	5.232435514267783E-4	-28925.844109496178	0.0	-579.2350018112289
1575000	-29538.45058462361	-604.6319988452374	-28933.818585778372	0.7551797029450064	2022.0420805710276	39.08077521824469	18.74500689245549	17.315580996325142	0.40712176384778564	22.05199277661843	0.33327912090942524	0.16553856490600086	0.1679690456864217	0.3332132684981526	0.26220100424935355	4.915308869400537E-4	4.915308869400534E-4	-28933.818585778372	0.0	-580.0150153115536
1600000	-29545.85930546518	-605.7467780576945	-28940.112527407484	0.8347901722926435	2021.9624701016799	39.250196456175885	17.14426489547521	15.82498781437846	0.41033607994839894	30.70232123428644	0.33003468147595005	0.1647747795984827	0.16833638086051003	0.3368541580650576	0.2784437901165858	4.943955268726298E-4	4.943955268726294E-4	-28940.112527407484	0.0	-581.867804953914
1625000	-29538.824228611007	-600.895397912356	-28937.928830698653	0.7628534647201122	2022.0344068092525	38.499896382825916	20.63803813738036	13.668856639240568	0.37676150239288236	21.207568075103698	0.3302972757191727	0.16736984651220443	0.16749222868585842	0.33484064908276473	0.6649317903506107	5.130016611088362E-4	5.130016611088356E-4	-28937.928830698653	0.0	-579.1143371814683
1650000	-29543.106741355274	-616.1694118774396	-28926.937329477834	0.8318426922087103	2021.9654175817639	40.20886031366268	15.006600972226225	13.89571940378978	0.4292146561221904	26.801488679190665	0.3308557122894978	0.1688121874823062	0.16713822650323817	0.3331938737249581	0.23974965702706305	4.3369613346035677E-4	4.336961334603567E-4	-28926.937329477834	0.0	-594.7710709652608
1675000	-29558.458262420016	-611.3330557452771	-28947.12520667474	0.9352704947941411	2021.8619897791784	39.61793350857968	22.37800196113723	10.987562674384476	0.3640386336692001	30.427896891274017	0.32775724049223437	0.16636891786103805	0.1756713339442091	0.330202507702519	0.03629736256763195	4.6301485558614597E-4	4.6301485558614515E-4	-28947.12520667474	0.0	-592.5322692376845
1700000	-29527.63721557299	-611.7810687260459	-28915.856146846945	0.9240956599485524	2021.873164614024	39.37876208262823	16.953254259009935	10.963922128249198	0.39809471465684454	21.304505902884603	0.33450725659687186	0.16693887857271464	0.17309029278710467	0.32546357204330917	0.3884518158069782	4.6734982485208663E-4	4.673498248520858E-4	-28915.856146846945	0.0	-593.4440152988197
1725000	-29552.521809120524	-623.372610724775	-28929.14919839575	0.8363843339544303	2021.9608759400182	40.921822560577155	16.790426387809152	14.934387929672058	0.43085571357520264	19.357926793956224	0.32614268039772154	0.16999561104730315	0.16822251993691972	0.33563918861805575	1.1233289519492489	4.6282499354496226E-4	4.628249935449622E-4	-28929.14919839575	0.0	-599.8241252066576
1750000	-29555.963621046292	-620.4178336456441	-28935.54578740065	0.8374830592930302	2021.9597772146797	40.24208759365484	13.540921736216735	16.30954134463932	0.4725196066728447	23.105353781688947	0.3323822630748093	0.16561141497835438	0.1714773506300697	0.3305289713167669	0.2562932942293642	4.524758151597419E-4	4.5247581515974177E-4	-28935.54578740065	0.0	-597.0340422575188
1775000	-29533.374050388753	-603.9493457797425	-28929.42470460901	0.8337956271114386	2021.9634646468612	38.0776151997765	18.507797633315977	13.458563298019955	0.40041117758656275	21.411368490120793	0.3317783576288374	0.16327664526481292	0.16983639374629728	0.33510860336005244	0.1171942055380849	4.954583122586932E-4	4.95458312258693E-4	-28929.42470460901	0.0	-583.5608295876792
1800000	-29530.3369309578	-590.2567814213993	-28940.080149536403	0.754237183306647	2022.0430230906659	37.189754825769434	29.651331143808793	11.470155524149229	0.31557520272526024	23.795617947688765	0.33065827423450234	0.170206401640133	0.16877508398369254	0.33036024014167203	0.2902546946192616	4.872990858627126E-4	4.872990858627125E-4	-28940.080149536403	0.0	-570.7906297444267
1825000	-29525.82304025979	-590.5120455506171	-28935.310994709173	0.8358565602407981	2021.961403713732	37.13834732090693	14.83338886400262	12.208454535193543	0.39268362632449727	23.65272002301395	0.33453821623380975	0.16330887058325144	0.16592569794955844	0.33622721523338034	0.3395980642123757	5.236452551304551E-4	5.236452551304546E-4	-28935.310994709173	0.0	-570.9159094837136
1850000	-29512.509714416152	-587.499775765559	-28925.009938650594	0.864714557606718	2021.932545716366	36.74528811385058	16.51843127147251	13.195083752136913	0.3893354900367941	34.11589622425322	0.33074587021314106	0.16388133660140597	0.1752852401101364	0.3300875530753165	0.1349416133329425	5.112517617261289E-4	5.112517617261287E-4	-28925.009938650594	0.0	-566.302340945762
1875000	-29523.622209146935	-582.6129799186501	-28941.009229228286	0.775393146780522	2022.021867127192	35.553144423887716	22.04492056430951	17.186299120848737	0.3851094951336988	23.04635635007808	0.3284975619014854	0.1661565539956365	0.16915197709689883	0.33619390700597923	0.4465853577076577	5.320141237825814E-4	5.320141237825824E-4	-28941.009229228286	0.0	-557.4905370629992
